"address","type","format","description","unit","value"
"40631","STR32","UTF8","Device Name",""
"30057","U32","RAW","Seriennummer",""
"30775","S32","FIX0","AC Wirkleistung","W"
"30813","S32","FIX0","AC Scheinleistung","VA"
"30977","S32","FIX3","AC Strom","A"
"30783","S32","FIX2","AC Spannung (L1-N)","V"
"30803","U32","FIX2","Netzfrequenz","Hz"
"30773","S32","FIX0","DC Leistung","W"
"30771","S32","FIX2","DC Eingangsspannung","V"
"30953","S32","FIX1","Gerätetemperatur","°C"
"30517","U64","FIX0","Tagesertrag","Wh"
"30513","U64","FIX0","Gesamtertrag","Wh"
"30521","U64","FIX0","Betriebszeit","s"
"30525","U64","FIX0","Einspeisezeit","s"
"30975","S32","FIX2","Zwischenkreisspannung","V"
"30225","S32","FIX0","Isolationswiderstand","Ω"
"30581","U32","FIX0","Bezugszähler","Wh"
"30583","U32","FIX0","Einspeisezähler","Wh"
"30865","S32","FIX0","Bezugsleistung","W"
"30867","S32","FIX0","Einspeiseleistung","W"
--------------------------------------------------
time,Device Name,Seriennummer,AC Wirkleistung (W),AC Scheinleistung (VA),AC Strom (A),AC Spannung (L1-N) (V),Netzfrequenz (Hz),DC Leistung (W),DC Eingangsspannung (V),Gerätetemperatur (°C),Tagesertrag (Wh),Gesamtertrag (Wh),Betriebszeit (s),Einspeisezeit (s),Zwischenkreisspannung (V),Isolationswiderstand (Ω),Bezugszähler (Wh),Einspeisezähler (Wh),Bezugsleistung (W),Einspeiseleistung (W)
2016-06-12 16:28:59,SB2.5-1VL-40 072,1930027072,297,297,1.259,235.66,49.99,322,305.56,34.7,6585,249351,1333690,1320237,331.95,3000000,121639,139451,471,0
2016-06-12 16:29:02,SB2.5-1VL-40 072,1930027072,298,298,1.266,235.72,49.99,324,308.66,34.7,6586,249351,1333694,1320241,332.18,3000000,121640,139451,467,0
2016-06-12 16:29:06,SB2.5-1VL-40 072,1930027072,298,298,1.267,235.68,49.99,323,309.89,34.6,6586,249351,1333698,1320245,332.1,3000000,121640,139451,472,0
2016-06-12 16:29:09,SB2.5-1VL-40 072,1930027072,300,300,1.275,235.49,49.99,326,308.66,34.7,6586,249351,1333701,1320248,331.76,3000000,121641,139451,469,0
2016-06-12 16:29:13,SB2.5-1VL-40 072,1930027072,301,301,1.278,235.58,49.98,326,308.66,34.6,6586,249352,1333705,1320252,331.74,3000000,121641,139451,467,0
2016-06-12 16:29:17,SB2.5-1VL-40 072,1930027072,298,298,1.265,235.74,49.98,323,312.44,34.6,6587,249352,1333709,1320256,332.14,3000000,121642,139451,477,0
2016-06-12 16:29:20,SB2.5-1VL-40 072,1930027072,302,302,1.283,235.69,49.98,327,308.66,34.6,6587,249352,1333712,1320259,331.99,3000000,121642,139451,467,0
2016-06-12 16:29:24,SB2.5-1VL-40 072,1930027072,302,302,1.28,235.61,49.98,327,305.51,34.6,6587,249353,1333716,1320263,331.82,3000000,121643,139451,462,0
2016-06-12 16:29:28,SB2.5-1VL-40 072,1930027072,303,303,1.286,235.59,49.99,328,308.92,34.6,6588,249353,1333720,1320267,331.76,3000000,121643,139451,463,0
2016-06-12 16:29:31,SB2.5-1VL-40 072,1930027072,303,303,1.287,235.66,49.99,329,308.66,34.6,6588,249353,1333723,1320270,331.99,3000000,121644,139451,457,0
