"address","type","format","description","unit","value"
"40631","STR32","UTF8","Device Name",""
"30057","U32","RAW","serial number",""
"30775","S32","FIX0","AC Power","W"
"30813","S32","FIX0","AC apparent power","VA"
"30977","S32","FIX3","AC current","A"
"30783","S32","FIX2","AC voltage","V"
"30803","U32","FIX2","grid frequency","Hz"
"30773","S32","FIX0","DC power","W"
"30771","S32","FIX2","DC input voltage","V"
"30953","S32","FIX1","device temperature","°C"
"30517","U64","FIX0","daily yield","Wh"
"30513","U64","FIX0","total yield","Wh"
"30521","U64","FIX0","operation time","s"
"30525","U64","FIX0","feed-in time","s"
"30975","S32","FIX2","intermediate voltage","V"
"30225","S32","FIX0","Isolation resistance","Ω"
"30581","U32","FIX0","energy from grid","Wh"
"30583","U32","FIX0","energy to grid","Wh"
"30865","S32","FIX0","Power from grid","W"
"30867","S32","FIX0","Power to grid","W"
--------------------------------------------------
time,b'Device Name' (b''),b'serial number' (b''),b'AC Power' (b'W'),b'AC apparent power' (b'VA'),b'AC current' (b'A'),b'AC voltage' (b'V'),b'grid frequency' (b'Hz'),b'DC power' (b'W'),b'DC input voltage' (b'V'),b'device temperature' (b'\xc2\xb0C'),b'daily yield' (b'Wh'),b'total yield' (b'Wh'),b'operation time' (b's'),b'feed-in time' (b's'),b'intermediate voltage' (b'V'),b'Isolation resistance' (b'\xce\xa9'),b'energy from grid' (b'Wh'),b'energy to grid' (b'Wh'),b'Power from grid' (b'W'),b'Power to grid' (b'W')
2019-02-25 10:22:30,SN: 1930027072,1930027072,1029,1030,4.387,234.92,49.99,1073,281.13,30.2,645,6461940,41158278,40674504,335.96,3000000,7262256,3756842,0,735
